factor	motif	correlation	abs_correlation	pval	permutation_pval	combined	p_adj	-log10(p-value)	motif_stddev
TFAP2B	GM.5.0.AP-2.0002	-0.22441699097650708	0.22441699097650708	0.0959926979730581	0.2627218934911242	0.11803030539144013	0.23356920591973643	0.631584415757833	0.01922112502204425
TFAP2B	GM.5.0.AP-2.0003	0.16593468793988267	0.16593468793988267	0.15372074642942068	0.3255917159763314	0.19993697907072172	0.3109673940834003	0.5072851457385034	0.011083287261197675
TFAP2B	GM.5.0.AP-2.0005	0.20260060141424927	0.20260060141424927	0.11492369241960076	0.2876232741617358	0.1457578224481258	0.2638846107063706	0.5785859363437416	0.012402624090718843
TFAP2B	GM.5.0.AP-2.0006	-0.16385396136741745	0.16385396136741745	0.15594898373130772	0.3266272189349112	0.20258543384366312	0.31300318752524425	0.504451239713693	0.011836070359831533
ARID5B	GM.5.0.ARID_BRIGHT.0003	0.07946282508364648	0.07946282508364648	0.29019353169107676	0.3103944773175543	0.3068943927002764	0.4110192759378702	0.38613781015033916	0.01089003596962283
ARID5B	GM.5.0.ARID_BRIGHT.0004	0.15072810969582184	0.15072810969582184	0.17287303985339988	0.14304733727810656	0.11622092959961366	0.23182366276518684	0.6348422366905805	0.014694899145374508
HMGA1	GM.5.0.AT_hook.0002	-0.09315337416636497	0.09315337416636497	0.2630291521535384	0.37596646942800793	0.3276967842638933	0.4259490263395494	0.37064237015553037	0.010361433955985305
HMGA1	GM.5.0.AT_hook.0003	-0.21273219968474802	0.21273219968474802	0.10566893281295908	0.21707100591715967	0.10952676294795351	0.22454956539354573	0.6486877811595722	0.029069446390130177
HMGA1	GM.5.0.AT_hook.0004	-0.03311369364024308	0.03311369364024308	0.40258935191013745	0.4575838264299803	0.4958483337673766	0.5442008393388993	0.26424079272904444	0.008272806200331889
EGR2	GM.5.0.C2H2_ZF.0001	0.01972088189086598	0.01972088189086598	0.4414874732468841	0.3531558185404339	0.44567224172592446	0.5123663160353383	0.2904194293583277	0.008042278913185773
EGR4	GM.5.0.C2H2_ZF.0001	-0.010860317355255208	0.010860317355255208	0.4673092310490019	0.3719723865877712	0.4779696630237379	0.5334482846247075	0.2729076770656907	0.008042278913185773
EGR1	GM.5.0.C2H2_ZF.0001	-0.06728677565309366	0.06728677565309366	0.31607984668541134	0.29146942800788966	0.31181332637893544	0.4131460374411112	0.38389640828503274	0.008042278913185773
